;competencia;municipio;secao;subclasse;admitidos;desligados;saldo
161278;202007;352590;G;4731800;0;1;-1
161356;202007;352590;G;4763603;1;0;1
161362;202007;352590;I;5611201;1;0;1
162402;202007;352590;G;4731800;0;1;-1
162900;202007;352590;F;4330404;2;1;1
162902;202007;352590;N;7830200;22;19;3
163537;202007;352590;S;9521500;0;1;-1
163843;202007;352590;M;7112000;4;6;-2
163844;202007;352590;J;6204000;1;7;-6
164227;202007;352590;J;6311900;2;0;2
164949;202007;352590;K;6622300;1;0;1
165199;202007;352590;G;4771701;1;0;1
165423;202007;352590;C;1830003;0;1;-1
165753;202007;352590;C;3319800;1;0;1
165825;202007;352590;G;4722901;0;1;-1
165913;202007;352590;I;5611201;6;4;2
166370;202007;352590;H;4930202;0;2;-2
166843;202007;352590;I;5611201;0;1;-1
167095;202007;352590;G;4711302;2;0;2
167832;202007;352590;Q;8610101;3;7;-4
168322;202007;352590;G;4724500;5;19;-14
168323;202007;352590;G;4633801;1;0;1
168324;202007;352590;G;4724500;10;18;-8
168934;202007;352590;H;4930202;0;1;-1
169317;202007;352590;M;7500100;0;1;-1
169830;202007;352590;C;2812700;1;0;1
169959;202007;352590;F;4120400;0;1;-1
170077;202007;352590;G;4721102;1;1;0
170158;202007;352590;J;5914600;0;1;-1
170894;202007;352590;I;5510801;0;1;-1
170897;202007;352590;I;5510801;0;2;-2
171036;202007;352590;H;5250805;0;2;-2
171074;202007;352590;C;2621300;1;16;-15
171099;202007;352590;G;4781400;2;0;2
171284;202007;352590;G;4772500;0;1;-1
171519;202007;352590;G;4691500;8;2;6
171856;202007;352590;C;3291400;1;0;1
172437;202007;352590;G;4635402;0;1;-1
172648;202007;352590;F;4399103;1;0;1
172683;202007;352590;C;2511000;1;6;-5
172780;202007;352590;G;4731800;1;0;1
173484;202007;352590;N;7732201;0;1;-1
174008;202007;352590;M;6920601;1;0;1
174136;202007;352590;I;5611201;0;1;-1
174428;202007;352590;N;8299799;1;1;0
174579;202007;352590;G;4520005;1;0;1
174669;202007;352590;M;7119701;0;1;-1
174719;202007;352590;C;3329501;2;0;2
174831;202007;352590;G;4781400;0;1;-1
175166;202007;352590;G;4757100;1;0;1
175490;202007;352590;I;5611201;0;1;-1
175573;202007;352590;G;4712100;0;1;-1
175719;202007;352590;G;4633801;1;1;0
175920;202007;352590;P;8593700;1;1;0
176654;202007;352590;G;4530703;0;1;-1
176920;202007;352590;H;5211701;0;1;-1
177454;202007;352590;Q;8711502;0;5;-5
177455;202007;352590;Q;8711502;0;8;-8
177520;202007;352590;G;4782201;0;1;-1
177694;202007;352590;N;8211300;0;1;-1
177775;202007;352590;G;4520004;1;0;1
177860;202007;352590;Q;8640210;1;0;1
178069;202007;352590;G;4744002;1;0;1
178527;202007;352590;N;8211300;1;0;1
179172;202007;352590;N;8220200;1;2;-1
179506;202007;352590;N;8299706;0;1;-1
179586;202007;352590;H;5240199;1;0;1
180590;202007;352590;M;7112000;0;1;-1
181218;202007;352590;G;4744099;1;3;-2
181287;202007;352590;H;5250804;1;0;1
181322;202007;352590;G;4772500;1;1;0
182519;202007;352590;G;4742300;1;0;1
182796;202007;352590;M;7500100;1;0;1
182934;202007;352590;N;8211300;0;1;-1
183098;202007;352590;M;6920601;1;1;0
