;competencia;municipio;secao;subclasse;admitidos;desligados;saldo
282388;202102;352590;C;1733800;9;3;6
282638;202102;352590;P;8520100;1;2;-1
282658;202102;352590;F;4322301;0;2;-2
282765;202102;352590;G;4530703;0;1;-1
282945;202102;352590;S;9601701;1;0;1
283563;202102;352590;G;4781400;1;0;1
283850;202102;352590;G;4689301;1;1;0
283894;202102;352590;M;6920601;0;1;-1
283973;202102;352590;G;4731800;1;1;0
284454;202102;352590;F;4330404;1;0;1
284987;202102;352590;G;4761001;1;2;-1
285397;202102;352590;G;4782201;2;1;1
285770;202102;352590;C;1066000;6;6;0
286234;202102;352590;G;4781400;9;1;8
286331;202102;352590;S;9521500;6;2;4
286463;202102;352590;P;8599604;0;1;-1
286820;202102;352590;Q;8650004;1;1;0
286999;202102;352590;C;3250705;11;1;10
287027;202102;352590;G;4772500;0;2;-2
287660;202102;352590;M;7490199;1;1;0
287696;202102;352590;P;8512100;2;0;2
287699;202102;352590;E;3821100;13;7;6
287701;202102;352590;I;5611201;0;1;-1
287748;202102;352590;K;6462000;1;2;-1
287808;202102;352590;N;8111700;19;22;-3
287867;202102;352590;J;6319400;1;0;1
287933;202102;352590;G;4541204;1;0;1
288011;202102;352590;F;4330499;1;2;-1
288261;202102;352590;G;4789001;0;2;-2
288971;202102;352590;I;5612100;1;0;1
289211;202102;352590;F;4120400;8;3;5
289364;202102;352590;I;5611201;0;1;-1
289910;202102;352590;G;4783101;0;1;-1
289941;202102;352590;I;5510801;2;0;2
290293;202102;352590;I;5611201;9;3;6
290294;202102;352590;I;5611201;6;2;4
290498;202102;352590;I;5620104;1;0;1
290499;202102;352590;G;4755503;1;1;0
290908;202102;352590;K;6462000;2;0;2
291245;202102;352590;G;4520007;0;1;-1
291457;202102;352590;C;3314703;1;0;1
291528;202102;352590;G;4744099;0;2;-2
292137;202102;352590;G;4783101;1;0;1
293027;202102;352590;J;6190601;4;2;2
293028;202102;352590;N;8121400;1;1;0
293033;202102;352590;G;4520005;0;1;-1
293159;202102;352590;G;4744001;1;0;1
293169;202102;352590;P;8513900;1;0;1
293642;202102;352590;G;4782201;0;3;-3
293760;202102;352590;F;4120400;0;1;-1
294018;202102;352590;P;8511200;1;0;1
294159;202102;352590;G;4771701;0;1;-1
294175;202102;352590;F;4322302;1;0;1
294812;202102;352590;P;8511200;1;0;1
295052;202102;352590;L;6821801;2;3;-1
295425;202102;352590;F;4321500;1;0;1
295536;202102;352590;R;9329804;1;1;0
296444;202102;352590;P;8511200;1;0;1
297665;202102;352590;G;4619200;1;0;1
297940;202102;352590;G;4530703;1;0;1
297947;202102;352590;P;8511200;2;2;0
297951;202102;352590;G;4743100;1;1;0
298539;202102;352590;G;4772500;1;1;0
298543;202102;352590;H;4930202;4;1;3
299192;202102;352590;C;3314708;0;1;-1
300064;202102;352590;Q;8650004;2;1;1
300065;202102;352590;Q;8650004;1;0;1
300752;202102;352590;G;4772500;2;2;0
301558;202102;352590;Q;8711501;2;1;1
301606;202102;352590;G;4530701;1;3;-2
301827;202102;352590;N;8111700;0;1;-1
302511;202102;352590;G;4757100;2;0;2
302664;202102;352590;G;4691500;4;10;-6
303211;202102;352590;G;4743100;1;0;1
303994;202102;352590;N;8211300;0;1;-1
304027;202102;352590;G;4637199;0;2;-2
304309;202102;352590;M;7311400;3;0;3
304363;202102;352590;I;5611203;0;1;-1
304403;202102;352590;I;5611203;0;5;-5
304408;202102;352590;I;5611203;0;2;-2
304825;202102;352590;I;5611203;1;1;0
305050;202102;352590;C;1091102;1;0;1
305114;202102;352590;S;9511800;0;1;-1
305371;202102;352590;G;4687702;1;0;1
305884;202102;352590;H;4930202;4;11;-7
305998;202102;352590;F;4330403;2;1;1
306002;202102;352590;F;4330499;1;1;0
306467;202102;352590;G;4781400;1;0;1
307829;202102;352590;N;7733100;1;1;0
309086;202102;352590;F;4330401;1;0;1
309173;202102;352590;G;4520004;1;0;1
309265;202102;352590;N;8299706;1;1;0
309269;202102;352590;Q;8630502;1;3;-2
309483;202102;352590;G;4761003;2;0;2
309933;202102;352590;G;4689399;1;0;1
310088;202102;352590;P;8511200;0;1;-1
310089;202102;352590;P;8511200;2;0;2
310211;202102;352590;F;4213800;4;0;4
310218;202102;352590;H;4930201;0;2;-2
310524;202102;352590;G;4772500;0;1;-1
310778;202102;352590;F;4399101;1;1;0
310945;202102;352590;G;4669999;5;3;2
311711;202102;352590;G;4724500;0;1;-1
311944;202102;352590;F;4399103;1;0;1
311958;202102;352590;H;4930201;0;1;-1
312364;202102;352590;C;3314713;0;1;-1
312433;202102;352590;I;5611203;0;1;-1
312847;202102;352590;I;5611203;1;0;1
313270;202102;352590;J;6311900;2;1;1
313525;202102;352590;G;4632003;0;1;-1
314277;202102;352590;D;3511502;1;0;1
314582;202102;352590;G;4649402;0;1;-1
315416;202102;352590;C;1093701;1;1;0
315561;202102;352590;G;4781400;2;1;1
315800;202102;352590;J;6110803;1;0;1
316110;202102;352590;G;4781400;1;1;0
316535;202102;352590;P;8541400;1;1;0
316774;202102;352590;G;4686902;1;0;1
316790;202102;352590;G;4772500;0;2;-2
316974;202102;352590;G;4530703;1;0;1
317662;202102;352590;C;2229399;1;0;1
317755;202102;352590;F;4399103;0;1;-1
317900;202102;352590;J;6201501;0;1;-1
317997;202102;352590;K;6619399;1;2;-1
317998;202102;352590;K;6622300;0;1;-1
318153;202102;352590;G;4731800;0;1;-1
318276;202102;352590;G;4763603;1;0;1
318435;202102;352590;G;4646001;0;1;-1
318643;202102;352590;Q;8630504;0;3;-3
318995;202102;352590;F;4321500;1;0;1
319390;202102;352590;C;2731700;0;1;-1
319451;202102;352590;J;6190601;0;1;-1
319543;202102;352590;C;3101200;1;0;1
319959;202102;352590;G;4789099;3;1;2
319962;202102;352590;Q;8640205;0;1;-1
319963;202102;352590;Q;8640205;1;0;1
320725;202102;352590;N;8112500;0;2;-2
320760;202102;352590;H;5211701;40;30;10
322084;202102;352590;G;4530704;6;1;5
322170;202102;352590;G;4753900;0;2;-2
322420;202102;352590;N;8219999;1;0;1
322595;202102;352590;C;3299099;2;0;2
322709;202102;352590;C;2399101;0;1;-1
322749;202102;352590;G;4530705;0;2;-2
322981;202102;352590;G;4771701;1;0;1
323443;202102;352590;M;7119704;3;4;-1
323649;202102;352590;N;8111700;0;1;-1
323654;202102;352590;F;4322302;1;0;1
323905;202102;352590;C;3314702;27;18;9
323909;202102;352590;G;4744001;2;0;2
324140;202102;352590;G;4754701;2;6;-4
324373;202102;352590;G;4781400;19;0;19
324949;202102;352590;G;4771702;2;0;2
324953;202102;352590;C;1091101;5;6;-1
324957;202102;352590;C;2599399;5;3;2
325134;202102;352590;C;3314708;5;5;0
326417;202102;352590;C;1413401;0;5;-5
326500;202102;352590;H;4930202;3;2;1
327313;202102;352590;P;8520100;5;0;5
327446;202102;352590;G;4763603;1;0;1
327991;202102;352590;F;4399103;0;1;-1
329135;202102;352590;G;4721102;2;0;2
329311;202102;352590;G;4771701;2;1;1
330419;202102;352590;I;5611203;0;2;-2
330607;202102;352590;F;4330402;1;0;1
331072;202102;352590;G;4530703;1;3;-2
331204;202102;352590;G;4761001;2;2;0
331550;202102;352590;F;4321500;1;0;1
331779;202102;352590;M;6920601;0;1;-1
332575;202102;352590;R;9313100;0;1;-1
332911;202102;352590;K;6622300;2;2;0
332949;202102;352590;G;4763601;0;4;-4
333017;202102;352590;F;4322303;0;3;-3
333127;202102;352590;N;8219999;0;1;-1
333271;202102;352590;G;4713002;3;0;3
333860;202102;352590;G;4741500;1;0;1
333862;202102;352590;G;4741500;1;0;1
333866;202102;352590;C;2522500;3;1;2
334489;202102;352590;G;4781400;1;1;0
334759;202102;352590;G;4772500;1;1;0
334867;202102;352590;J;6311900;0;1;-1
335502;202102;352590;G;4741500;0;1;-1
335753;202102;352590;Q;8650003;0;1;-1
336203;202102;352590;N;7739099;1;0;1
336752;202102;352590;M;6920601;0;1;-1
336791;202102;352590;N;7810800;6;7;-1
336800;202102;352590;G;4721104;12;5;7
336801;202102;352590;G;4637107;4;0;4
336891;202102;352590;C;3101200;4;5;-1
336893;202102;352590;G;4754701;1;3;-2
336894;202102;352590;G;4754701;0;1;-1
337054;202102;352590;J;6209100;0;1;-1
337150;202102;352590;I;5611201;1;0;1
337394;202102;352590;I;5611203;0;1;-1
337529;202102;352590;G;4752100;0;6;-6
337618;202102;352590;G;4744002;1;0;1
337976;202102;352590;J;6190699;1;0;1
338000;202102;352590;I;5611201;4;4;0
338236;202102;352590;Q;8800600;1;0;1
338438;202102;352590;C;1053800;6;2;4
338823;202102;352590;Q;8712300;0;1;-1
339075;202102;352590;G;4744099;1;0;1
339186;202102;352590;F;4120400;0;3;-3
339692;202102;352590;G;4781400;0;1;-1
339708;202102;352590;N;8020001;1;0;1
339715;202102;352590;G;4721104;1;0;1
339820;202102;352590;N;8121400;1;0;1
339854;202102;352590;N;7732201;2;0;2
340161;202102;352590;I;5611202;0;2;-2
340627;202102;352590;I;5611201;0;1;-1
341628;202102;352590;G;4781400;1;0;1
342197;202102;352590;G;4772500;0;1;-1
342972;202102;352590;C;3314708;1;0;1
343425;202102;352590;I;5611201;2;0;2
343793;202102;352590;H;5212500;0;2;-2
344317;202102;352590;G;4781400;0;2;-2
344406;202102;352590;G;4520002;2;1;1
344507;202102;352590;F;4120400;0;1;-1
344641;202102;352590;M;7112000;0;13;-13
344820;202102;352590;N;7711000;0;1;-1
344924;202102;352590;N;7711000;0;1;-1
344974;202102;352590;S;9529105;0;2;-2
345104;202102;352590;C;2823200;1;0;1
345200;202102;352590;Q;8630503;1;0;1
345365;202102;352590;C;3101200;2;1;1
345878;202102;352590;J;6209100;1;0;1
345934;202102;352590;S;9521500;0;1;-1
346001;202102;352590;G;4712100;1;1;0
346149;202102;352590;N;8299799;2;0;2
346268;202102;352590;F;4120400;0;1;-1
346407;202102;352590;P;8511200;0;2;-2
346549;202102;352590;M;7311400;0;1;-1
346896;202102;352590;N;8111700;0;2;-2
347014;202102;352590;I;5611201;0;1;-1
347053;202102;352590;G;4712100;1;0;1
347398;202102;352590;G;4782201;0;2;-2
347736;202102;352590;N;7911200;1;5;-4
347960;202102;352590;G;4781400;0;2;-2
347962;202102;352590;R;9313100;0;1;-1
348002;202102;352590;G;4782201;0;1;-1
348347;202102;352590;I;5611203;0;1;-1
348416;202102;352590;S;9601701;0;1;-1
348453;202102;352590;N;8111700;9;0;9
348646;202102;352590;H;4930202;4;8;-4
348654;202102;352590;F;4321500;0;1;-1
348660;202102;352590;R;9313100;2;0;2
349174;202102;352590;I;5611201;1;0;1
349177;202102;352590;P;8511200;4;0;4
349516;202102;352590;G;4755502;3;4;-1
349808;202102;352590;H;4930201;1;0;1
350329;202102;352590;P;8511200;1;0;1
350620;202102;352590;G;4712100;1;0;1
350773;202102;352590;M;6920601;1;0;1
351558;202102;352590;N;8219999;1;0;1
351559;202102;352590;N;8219999;1;1;0
351574;202102;352590;H;4930202;1;0;1
351578;202102;352590;P;8512100;1;1;0
351579;202102;352590;P;8512100;2;0;2
352179;202102;352590;I;5611203;2;0;2
352536;202102;352590;C;2229302;1;1;0
352842;202102;352590;I;5611201;0;1;-1
352844;202102;352590;R;9313100;1;0;1
353121;202102;352590;S;9603301;4;1;3
353554;202102;352590;K;6422100;1;0;1
354098;202102;352590;H;5240199;1;2;-1
354100;202102;352590;Q;8630504;1;0;1
354271;202102;352590;P;8511200;0;1;-1
354559;202102;352590;M;6920601;1;1;0
355348;202102;352590;I;5611201;3;3;0
355521;202102;352590;G;4774100;0;1;-1
356221;202102;352590;N;8130300;1;0;1
356223;202102;352590;G;4781400;1;1;0
356226;202102;352590;M;7500100;0;1;-1
356453;202102;352590;I;5611201;1;1;0
357147;202102;352590;I;5620103;1;0;1
357427;202102;352590;H;4930202;2;0;2
359804;202102;352590;G;4774100;0;1;-1
360189;202102;352590;G;4729699;1;0;1
360198;202102;352590;H;5250803;1;1;0
360411;202102;352590;G;4763601;1;0;1
360527;202102;352590;G;4520005;7;11;-4
360899;202102;352590;M;7120100;3;2;1
361282;202102;352590;N;8219999;3;1;2
361382;202102;352590;G;4721104;1;2;-1
361407;202102;352590;G;4721104;1;2;-1
361755;202102;352590;H;4930202;1;0;1
361849;202102;352590;N;7911200;3;2;1
362521;202102;352590;F;4120400;5;6;-1
362975;202102;352590;G;4772500;0;1;-1
363251;202102;352590;G;4663000;6;4;2
363274;202102;352590;G;4511102;0;1;-1
363275;202102;352590;F;4321500;0;1;-1
364430;202102;352590;G;4541201;1;0;1
364481;202102;352590;Q;8711502;2;0;2
364482;202102;352590;Q;8711502;0;1;-1
364648;202102;352590;G;4752100;0;2;-2
365034;202102;352590;I;5611201;2;0;2
365491;202102;352590;F;4120400;1;0;1
365554;202102;352590;C;3250701;1;0;1
365802;202102;352590;N;8111700;3;1;2
367194;202102;352590;G;4741500;1;1;0
367233;202102;352590;G;4614100;0;1;-1
367246;202102;352590;G;4771702;2;0;2
367332;202102;352590;N;8299799;1;4;-3
367995;202102;352590;F;4222701;1;0;1
368367;202102;352590;G;4789099;2;1;1
369220;202102;352590;N;8219999;0;1;-1
369537;202102;352590;G;4754701;2;0;2
369622;202102;352590;S;9609299;1;0;1
369791;202102;352590;M;6920601;0;1;-1
370219;202102;352590;G;4744002;0;1;-1
370224;202102;352590;G;4618499;1;0;1
370376;202102;352590;G;4752100;2;1;1
370985;202102;352590;J;6209100;1;0;1
371044;202102;352590;H;4930201;0;1;-1
371046;202102;352590;H;4930201;10;2;8
371417;202102;352590;I;5611201;0;1;-1
371620;202102;352590;M;7500100;1;0;1
371870;202102;352590;G;4789002;0;1;-1
372005;202102;352590;G;4634601;4;1;3
372040;202102;352590;G;4783102;0;1;-1
372557;202102;352590;G;4789004;3;4;-1
372714;202102;352590;M;7319003;0;1;-1
372782;202102;352590;F;4399199;4;7;-3
372831;202102;352590;G;4530703;0;1;-1
373628;202102;352590;G;4687702;0;1;-1
373734;202102;352590;G;4530704;0;1;-1
373735;202102;352590;G;4713002;1;2;-1
374023;202102;352590;G;4712100;1;0;1
374501;202102;352590;H;4930201;0;1;-1
375629;202102;352590;G;4732600;0;2;-2
375704;202102;352590;G;4782201;1;1;0
375706;202102;352590;G;4782201;1;0;1
375888;202102;352590;I;5611201;0;1;-1
376177;202102;352590;G;4642701;0;1;-1
376959;202102;352590;C;2033900;1;1;0
377001;202102;352590;G;4789004;1;1;0
377130;202102;352590;N;8011101;2;4;-2
377920;202102;352590;N;8211300;1;0;1
377985;202102;352590;K;6491300;0;1;-1
378049;202102;352590;G;4774100;2;0;2
378189;202102;352590;L;6822600;2;2;0
379195;202102;352590;P;8593700;0;2;-2
379197;202102;352590;N;7911200;0;4;-4
379457;202102;352590;F;4399103;0;1;-1
379902;202102;352590;H;5112901;2;0;2
379906;202102;352590;G;4757100;0;1;-1
380068;202102;352590;N;8111700;8;1;7
380124;202102;352590;G;4781400;1;0;1
380446;202102;352590;P;8599603;1;1;0
380482;202102;352590;N;7912100;2;3;-1
380639;202102;352590;Q;8630503;1;0;1
380649;202102;352590;N;7911200;0;1;-1
381430;202102;352590;G;4724500;1;0;1
381592;202102;352590;G;4772500;0;2;-2
381825;202102;352590;L;6822600;0;1;-1
382405;202102;352590;G;4782201;0;1;-1
382465;202102;352590;S;9511800;2;0;2
382988;202102;352590;S;9602501;1;1;0
383128;202102;352590;L;6821801;1;0;1
383312;202102;352590;S;9601701;2;0;2
383401;202102;352590;F;4321500;0;1;-1
383583;202102;352590;N;8219999;0;1;-1
383592;202102;352590;G;4782201;0;1;-1
383818;202102;352590;M;6911701;1;0;1
383971;202102;352590;P;8599605;1;1;0
384245;202102;352590;G;4781400;0;1;-1
384684;202102;352590;I;5611203;3;0;3
384728;202102;352590;S;9609208;1;0;1
384804;202102;352590;H;5229002;1;0;1
385801;202102;352590;G;4751200;1;0;1
387515;202102;352590;N;8112500;0;2;-2
387877;202102;352590;C;2222600;4;5;-1
388287;202102;352590;G;4789004;1;0;1
388767;202102;352590;M;7119701;1;0;1
389237;202102;352590;G;4520002;0;1;-1
390166;202102;352590;N;8219999;1;0;1
390298;202102;352590;I;5611201;0;1;-1
390327;202102;352590;G;4520001;0;1;-1
390341;202102;352590;R;9313100;0;1;-1
390639;202102;352590;C;3212400;0;3;-3
390783;202102;352590;N;8291100;0;1;-1
391099;202102;352590;N;8112500;1;1;0
391309;202102;352590;C;3329501;2;0;2
391571;202102;352590;F;4330402;1;0;1
391708;202102;352590;P;8512100;2;0;2
391732;202102;352590;N;8220200;158;73;85
392600;202102;352590;F;4399103;2;0;2
392748;202102;352590;M;6920601;1;1;0
393436;202102;352590;G;4753900;1;1;0
393867;202102;352590;J;6202300;0;1;-1
394604;202102;352590;I;5611201;2;1;1
395014;202102;352590;G;4520002;0;2;-2
395074;202102;352590;S;9430800;2;1;1
395505;202102;352590;C;1091102;0;1;-1
396880;202102;352590;G;4789001;0;1;-1
397510;202102;352590;S;9511800;0;1;-1
397553;202102;352590;J;6204000;0;1;-1
398016;202102;352590;C;2610800;1;0;1
398043;202102;352590;G;4744099;1;0;1
398079;202102;352590;M;7119703;1;0;1
398463;202102;352590;F;4330402;2;1;1
398576;202102;352590;P;8599604;2;1;1
399578;202102;352590;G;4761001;0;1;-1
399589;202102;352590;F;4330403;0;1;-1
399791;202102;352590;I;5620104;1;0;1
400163;202102;352590;G;4722901;0;1;-1
400276;202102;352590;I;5611201;1;0;1
400638;202102;352590;J;6201501;1;0;1
401044;202102;352590;P;8593700;5;4;1
401337;202102;352590;G;4520002;0;1;-1
401405;202102;352590;N;8130300;4;14;-10
401535;202102;352590;G;4652400;0;1;-1
401536;202102;352590;G;4752100;1;2;-1
401669;202102;352590;G;4744002;0;1;-1
401764;202102;352590;F;4321500;3;2;1
401883;202102;352590;F;4120400;118;33;85
402208;202102;352590;C;2222600;1;0;1
402338;202102;352590;G;4751201;2;0;2
403795;202102;352590;F;4330405;3;4;-1
404147;202102;352590;G;4530703;2;0;2
404187;202102;352590;G;4530703;1;1;0
404560;202102;352590;C;3092000;0;1;-1
404633;202102;352590;G;4713002;2;0;2
404647;202102;352590;G;4729699;1;0;1
404829;202102;352590;P;8511200;1;0;1
404830;202102;352590;P;8511200;0;1;-1
404917;202102;352590;M;7020400;0;1;-1
405060;202102;352590;G;4530705;0;1;-1
405061;202102;352590;G;4520001;1;0;1
405063;202102;352590;H;4930201;1;2;-1
405173;202102;352590;G;4721102;3;1;2
405269;202102;352590;F;4120400;18;3;15
405298;202102;352590;H;4930202;0;1;-1
405320;202102;352590;G;4721102;1;1;0
406099;202102;352590;G;4721102;1;1;0
406509;202102;352590;G;4781400;1;1;0
406567;202102;352590;G;4781400;1;0;1
406643;202102;352590;G;4763602;0;1;-1
406777;202102;352590;I;5611203;1;1;0
407028;202102;352590;G;4789002;2;0;2
407586;202102;352590;M;7500100;1;0;1
407738;202102;352590;G;4781400;1;0;1
407957;202102;352590;M;7319003;0;1;-1
408784;202102;352590;J;6201501;3;0;3
409066;202102;352590;H;4930202;7;3;4
409228;202102;352590;Q;8712300;3;1;2
409669;202102;352590;G;4520001;0;1;-1
410300;202102;352590;C;2222600;1;0;1
411394;202102;352590;S;9491000;1;0;1
411453;202102;352590;I;5611203;1;1;0
411644;202102;352590;M;7112000;0;2;-2
412212;202102;352590;H;4930201;1;0;1
412304;202102;352590;P;8550302;9;1;8
413340;202102;352590;G;4721102;1;1;0
413348;202102;352590;L;6810202;0;1;-1
413961;202102;352590;G;4752100;1;0;1
413993;202102;352590;S;9602502;1;4;-3
414077;202102;352590;G;4530703;0;1;-1
414171;202102;352590;M;7112000;0;2;-2
414613;202102;352590;N;7820500;4;3;1
415244;202102;352590;G;4781400;0;1;-1
415767;202102;352590;P;8512100;2;1;1
415899;202102;352590;G;4721102;0;1;-1
416180;202102;352590;M;7312200;0;1;-1
416203;202102;352590;C;3313902;0;1;-1
416356;202102;352590;G;4781400;2;0;2
416485;202102;352590;S;9601701;2;0;2
416849;202102;352590;G;4712100;1;1;0
417330;202102;352590;I;5611203;1;1;0
417419;202102;352590;G;4781400;1;0;1
417447;202102;352590;G;4782202;1;1;0
417762;202102;352590;I;5611201;1;0;1
417848;202102;352590;G;4731800;0;2;-2
418797;202102;352590;C;3329599;0;1;-1
418873;202102;352590;C;2949299;10;11;-1
419003;202102;352590;C;3314707;0;1;-1
419465;202102;352590;I;5611203;2;1;1
420258;202102;352590;A;111302;0;1;-1
420634;202102;352590;I;5611201;1;0;1
420818;202102;352590;N;8111700;3;4;-1
421147;202102;352590;G;4669999;0;4;-4
421162;202102;352590;M;6920601;1;0;1
421428;202102;352590;L;6821802;2;1;1
423204;202102;352590;G;4754701;0;1;-1
423284;202102;352590;N;8112500;1;0;1
423285;202102;352590;N;8112500;0;3;-3
423358;202102;352590;N;8220200;0;1;-1
423712;202102;352590;G;4642702;1;0;1
424754;202102;352590;S;9602502;1;0;1
425220;202102;352590;N;8211300;1;0;1
425260;202102;352590;G;4771701;1;1;0
426208;202102;352590;G;4789099;0;3;-3
426392;202102;352590;I;5611201;0;1;-1
426399;202102;352590;G;4721102;0;1;-1
427011;202102;352590;H;4930202;31;9;22
427404;202102;352590;C;1091102;0;1;-1
428111;202102;352590;G;4672900;1;0;1
428211;202102;352590;N;8121400;2;0;2
428238;202102;352590;S;9512600;1;0;1
428388;202102;352590;H;4930202;1;0;1
428391;202102;352590;G;4789001;0;1;-1
428473;202102;352590;L;6821802;1;2;-1
428819;202102;352590;N;8130300;0;3;-3
428936;202102;352590;F;4399199;3;1;2
429129;202102;352590;M;6920601;1;0;1
430278;202102;352590;H;4930202;2;1;1
430380;202102;352590;G;4781400;1;0;1
430950;202102;352590;P;8511200;3;1;2
431875;202102;352590;G;4530703;1;1;0
432074;202102;352590;G;4752100;1;0;1
432266;202102;352590;G;4789002;0;1;-1
432570;202102;352590;F;4322302;1;0;1
432913;202102;352590;G;4645101;8;4;4
434688;202102;352590;G;4789001;0;1;-1
435237;202102;352590;G;4721102;4;0;4
435238;202102;352590;G;4721102;0;1;-1
435618;202102;352590;N;8121400;5;2;3
435995;202102;352590;G;4781400;0;1;-1
436157;202102;352590;G;4789099;0;1;-1
436906;202102;352590;M;6920601;2;1;1
437377;202102;352590;G;4631100;1;1;0
437544;202102;352590;M;7112000;3;1;2
437984;202102;352590;H;5212500;1;5;-4
438066;202102;352590;M;7020400;0;1;-1
438133;202102;352590;G;4731800;2;1;1
438229;202102;352590;C;1412601;3;5;-2
438372;202102;352590;F;4321500;1;0;1
438420;202102;352590;G;4713004;0;2;-2
438642;202102;352590;P;8599603;1;2;-1
439046;202102;352590;P;8512100;2;0;2
439131;202102;352590;G;4774100;1;0;1
439258;202102;352590;C;2950600;2;1;1
439337;202102;352590;G;4520001;2;2;0
439609;202102;352590;G;4744001;3;0;3
439624;202102;352590;L;6822600;1;0;1
439817;202102;352590;G;4752100;1;0;1
439932;202102;352590;F;4330403;0;2;-2
440893;202102;352590;J;6209100;1;0;1
441332;202102;352590;C;3314719;3;2;1
441382;202102;352590;G;4754701;1;0;1
441731;202102;352590;G;4731800;1;0;1
441763;202102;352590;I;5611201;0;1;-1
441875;202102;352590;Q;8630504;1;0;1
441917;202102;352590;R;9313100;1;1;0
442059;202102;352590;G;4649499;0;1;-1
442312;202102;352590;P;8599604;2;0;2
442393;202102;352590;M;7020400;1;0;1
442588;202102;352590;M;7490104;1;0;1
442589;202102;352590;M;7490104;1;0;1
442717;202102;352590;N;8211300;0;1;-1
442793;202102;352590;P;8512100;3;0;3
442794;202102;352590;M;7120100;1;0;1
442833;202102;352590;P;8512100;2;0;2
443114;202102;352590;G;4729699;2;36;-34
443245;202102;352590;F;4313400;0;1;-1
443258;202102;352590;G;4520001;2;0;2
443906;202102;352590;I;5611201;0;1;-1
444158;202102;352590;G;4781400;1;1;0
444299;202102;352590;S;9602502;1;0;1
444378;202102;352590;N;8111700;0;2;-2
444990;202102;352590;H;4930202;1;0;1
445145;202102;352590;F;4291000;3;1;2
445662;202102;352590;G;4679699;0;1;-1
446542;202102;352590;G;4789099;1;0;1
446869;202102;352590;I;5620101;11;14;-3
446872;202102;352590;I;5620101;9;8;1
446875;202102;352590;I;5620101;5;3;2
446879;202102;352590;I;5620101;3;0;3
448030;202102;352590;G;4753900;0;1;-1
448065;202102;352590;H;5229002;1;0;1
448155;202102;352590;C;3314708;1;0;1
448372;202102;352590;G;4633801;2;0;2
448722;202102;352590;I;5611203;1;0;1
449359;202102;352590;G;4646001;1;1;0
449590;202102;352590;H;5211701;9;8;1
449625;202102;352590;P;8511200;2;0;2
450342;202102;352590;G;4712100;1;0;1
450411;202102;352590;M;7490104;0;1;-1
450697;202102;352590;P;8512100;1;1;0
450850;202102;352590;H;4930202;2;1;1
450860;202102;352590;H;4930202;1;0;1
451017;202102;352590;G;4754701;0;3;-3
451228;202102;352590;N;8220200;69;139;-70
451231;202102;352590;N;8211300;0;7;-7
451562;202102;352590;G;4781400;1;0;1
451834;202102;352590;J;6209100;1;3;-2
452621;202102;352590;G;4783101;0;2;-2
453046;202102;352590;C;2229399;2;1;1
453610;202102;352590;M;6911701;1;0;1
453902;202102;352590;G;4772500;0;2;-2
454199;202102;352590;H;5212500;0;1;-1
455400;202102;352590;H;4930201;26;39;-13
455424;202102;352590;Q;8630502;2;1;1
455520;202102;352590;F;4221904;0;11;-11
455692;202102;352590;P;8513900;4;2;2
455733;202102;352590;H;4930201;0;1;-1
457073;202102;352590;R;9313100;0;1;-1
457365;202102;352590;M;6920601;3;0;3
457572;202102;352590;G;4679603;1;1;0
457898;202102;352590;G;4721102;0;1;-1
457900;202102;352590;N;8299799;34;16;18
457978;202102;352590;F;4399103;1;0;1
457996;202102;352590;N;8111700;5;2;3
458334;202102;352590;G;4633801;4;0;4
458443;202102;352590;H;4930202;6;7;-1
458749;202102;352590;G;4530703;0;1;-1
459356;202102;352590;G;4520003;1;0;1
459852;202102;352590;G;4711302;1;2;-1
460327;202102;352590;C;2391503;2;0;2
460751;202102;352590;P;8599604;9;11;-2
461025;202102;352590;G;4751201;0;1;-1
461909;202102;352590;G;4639701;6;15;-9
462134;202102;352590;G;4520007;3;0;3
462439;202102;352590;N;8111700;2;3;-1
462850;202102;352590;F;4330499;0;1;-1
463051;202102;352590;C;3313999;1;0;1
463169;202102;352590;G;4520004;1;0;1
463180;202102;352590;C;1095300;0;74;-74
464400;202102;352590;G;4753900;8;7;1
464431;202102;352590;G;4530704;2;2;0
464623;202102;352590;G;4530703;1;0;1
465291;202102;352590;G;4781400;1;0;1
465331;202102;352590;G;4781400;0;1;-1
465406;202102;352590;H;4930202;1;0;1
466271;202102;352590;G;4759899;1;2;-1
467046;202102;352590;N;8219999;1;0;1
467967;202102;352590;J;6209100;11;1;10
468059;202102;352590;C;2941700;2;0;2
468406;202102;352590;M;7112000;2;0;2
468590;202102;352590;N;8211300;3;0;3
468591;202102;352590;L;6821802;1;1;0
468618;202102;352590;G;4781400;1;0;1
468998;202102;352590;Q;8630502;1;0;1
469098;202102;352590;F;4312600;1;2;-1
469487;202102;352590;I;5611201;0;2;-2
469564;202102;352590;I;5611203;2;1;1
469567;202102;352590;I;5611203;3;4;-1
469568;202102;352590;I;5611203;0;1;-1
469570;202102;352590;I;5611203;4;5;-1
469641;202102;352590;G;4781400;0;1;-1
469776;202102;352590;N;8211300;1;0;1
470991;202102;352590;G;4789099;1;0;1
471308;202102;352590;G;4723700;1;0;1
471348;202102;352590;G;4646001;4;0;4
471381;202102;352590;C;3314707;0;3;-3
471465;202102;352590;G;4781400;1;0;1
471631;202102;352590;H;4930202;0;1;-1
472501;202102;352590;K;6622300;1;0;1
473406;202102;352590;J;6319400;2;1;1
473825;202102;352590;G;4782201;0;1;-1
